id,observed_on,place_guess,latitude,longitude,place_county_name,place_state_name,scientific_name,common_name
34261300,2018-01-09,"Everglades National Park, Monroe County, US-FL, US",25.1771965129,-80.8502725999,Monroe,Florida,Crocodylus acutus,American Crocodile
34282545,2018-10-06,"Miami-Dade County, US-FL, US",25.521536566,-80.2689625279,Miami-Dade,Florida,Crocodylus acutus,American Crocodile
34481902,2019-10-09,"Everglades National Park, Monroe County, US-FL, US",25.0355596855,-80.928496401,Monroe,Florida,Crocodylus acutus,American Crocodile
34714123,2019-10-21,"Lettuce Lake Park, Tampa, FL, US",28.07347783,-82.377695,Hillsborough,Florida,Alligator mississippiensis,American Alligator
34748155,2019-10-17,"Gainesville, FL, USA",29.6437157147,-82.36133821,Alachua,Florida,Alligator mississippiensis,American Alligator
34807943,2016-05-20,"Everglades National Park, Monroe County, US-FL, US",25.0675441737,-80.8844112697,Monroe,Florida,Crocodylus acutus,American Crocodile
34807947,2016-05-20,"Everglades National Park, Monroe County, US-FL, US",25.1676537359,-80.8277615808,Monroe,Florida,Crocodylus acutus,American Crocodile
34807948,2016-05-20,"Everglades National Park, Monroe County, US-FL, US",25.1445711713,-80.878776225,Monroe,Florida,Crocodylus acutus,American Crocodile
34938789,2004-04-28,"Florida, US",26.4342282238,-82.1526141817,Lee,Florida,Crocodylus acutus,American Crocodile
34939271,2007-03-25,United States,25.6294328784,-80.1122142757,Miami-Dade,Florida,Crocodylus acutus,American Crocodile
35205460,2019-11-02,"Lake Alice, Gainesville, FL, US",29.6432744712,-82.3622717802,Alachua,Florida,Alligator mississippiensis,American Alligator
35206861,2019-11-02,"Miami-Dade County, US-FL, US",25.5740350439,-80.3515781986,Miami-Dade,Florida,Crocodylus acutus,American Crocodile
35350811,2019-11-05,"Everglades National Park, Monroe County, US-FL, US",25.0078044356,-80.8543228923,Monroe,Florida,Crocodylus acutus,American Crocodile
35367930,2019-11-04,United States,25.7867587484,-80.3883475837,Miami-Dade,Florida,Crocodylus acutus,American Crocodile
35390452,2019-10-04,"Paynes Prairie Preserve State Park, Micanopy, FL, US",29.5337451329,-82.3052741518,Alachua,Florida,Alligator mississippiensis,American Alligator
35496160,2011-03-20,"Everglades National Park, US-FL, US",25.3575020023,-80.9564900191,Miami-Dade,Florida,Crocodylus acutus,American Crocodile
35536471,2019-11-10,"Everglades National Park, Monroe County, US-FL, US",25.1491612342,-80.8654263951,Monroe,Florida,Crocodylus acutus,American Crocodile
35539024,2019-10-22,"Everglades National Park, Monroe County, US-FL, US",25.1785865958,-80.8515980067,Monroe,Florida,Crocodylus acutus,American Crocodile
35539177,2019-10-22,"Everglades National Park, Monroe County, US-FL, US",25.1133681405,-80.922570141,Monroe,Florida,Trichechus manatus latirostris,Florida Manatee
35539223,2019-10-22,"Everglades National Park, Monroe County, US-FL, US",25.0881813304,-80.984210411,Monroe,Florida,Crocodylus acutus,American Crocodile
35560593,2019-11-10,"Everglades National Park, Monroe County, US-FL, US",25.1003863354,-80.8243286795,Monroe,Florida,Crocodylus acutus,American Crocodile
35718621,2019-11-07,"Everglades National Park, Monroe County, US-FL, US",25.3491374351,-80.8334322019,Monroe,Florida,Crocodylus acutus,American Crocodile
35718623,2019-11-07,"Monroe County, US-FL, US",25.3467423868,-80.803708288,Monroe,Florida,Crocodylus acutus,American Crocodile
35718632,2019-11-07,"Everglades National Park, Monroe County, US-FL, US",25.1427090529,-80.814175221,Monroe,Florida,Crocodylus acutus,American Crocodile
35842414,2019-11-05,"Everglades National Park, Monroe County, US-FL, US",25.1106322801,-80.8094033574,Monroe,Florida,Crocodylus acutus,American Crocodile
35842415,2019-11-05,"Everglades National Park, Monroe County, US-FL, US",25.0152014466,-80.83988875,Monroe,Florida,Crocodylus acutus,American Crocodile
35867478,2019-01-21,"Florida, US",25.2225497762,-80.905194609,Monroe,Florida,Crocodylus acutus,American Crocodile
35867504,2011-12-30,"Everglades National Park, Monroe County, US-FL, US",25.0803586899,-80.8046779833,Monroe,Florida,Crocodylus acutus,American Crocodile
35946232,2019-11-19,"Miami-Dade County, US-FL, US",25.5333910629,-80.2352697955,Miami-Dade,Florida,Crocodylus acutus,American Crocodile
36027548,2019-11-23,"Everglades National Park, Monroe County, US-FL, US",25.1116568368,-80.8663273041,Monroe,Florida,Crocodylus acutus,American Crocodile
36150549,2019-11-27,"Everglades National Park, Monroe County, US-FL, US",25.0873546672,-80.8221856503,Monroe,Florida,Crocodylus acutus,American Crocodile
36175584,2019-11-28,"Monroe County, US-FL, US",24.961438473,-80.6755126127,Monroe,Florida,Crocodylus acutus,American Crocodile
36212084,2019-04-12,"Everglades National Park, Monroe County, US-FL, US",25.0750721881,-80.9822154407,Monroe,Florida,Crocodylus acutus,American Crocodile
36262677,2013-12-03,"Everglades National Park, Monroe County, US-FL, US",25.0722385269,-80.8993655756,Monroe,Florida,Crocodylus acutus,American Crocodile
36287259,2019-12-01,"Everglades National Park, Monroe County, US-FL, US",25.1566477268,-80.894738182,Monroe,Florida,Crocodylus acutus,American Crocodile
36294958,2019-12-02,"Florida, US",25.1027454775,-80.309534193,Monroe,Florida,Crocodylus acutus,American Crocodile
36407309,2018-01-04,"Florida, US",25.7762895154,-80.280022964,Miami-Dade,Florida,Crocodylus acutus,American Crocodile
36407677,1986-12-18,"Florida, US",25.5675946125,-80.7403035575,Miami-Dade,Florida,Crocodylus acutus,American Crocodile
36440362,2019-11-30,"Everglades National Park, Monroe County, US-FL, US",25.1232892848,-80.8589886281,Monroe,Florida,Crocodylus acutus,American Crocodile
36457004,2019-11-27,"Florida, US",26.410284261,-82.1554673686,Lee,Florida,Crocodylus acutus,American Crocodile
36482610,2019-12-08,"Miami-Dade County, US-FL, US",25.4675915798,-80.3380319449,Miami-Dade,Florida,Crocodylus acutus,American Crocodile
36512297,2019-12-09,"Florida, US",25.3260143359,-80.3057248268,Monroe,Florida,Crocodylus acutus,American Crocodile
36513469,2019-12-09,"Everglades National Park, Monroe County, US-FL, US",25.159590621,-80.874127798,Monroe,Florida,Crocodylus acutus,American Crocodile
36524195,2005-01-09,"Everglades National Park, Monroe County, US-FL, US",25.0458782343,-80.81074383,Monroe,Florida,Crocodylus acutus,American Crocodile
36572564,2019-04-22,"Everglades National Park, Monroe County, US-FL, US",25.1471503424,-80.9495286994,Monroe,Florida,Crocodylus acutus,American Crocodile
36807478,2019-12-10,"Florida, US",25.7696597072,-80.3925671548,Miami-Dade,Florida,Crocodylus acutus,American Crocodile
36823507,2019-12-19,"Everglades National Park, Monroe County, US-FL, US",25.0467020434,-80.9445439882,Monroe,Florida,Crocodylus acutus,American Crocodile
36897014,2008-01-12,"Miami-Dade County, US-FL, US",25.4517027586,-80.2112069938,Miami-Dade,Florida,Crocodylus acutus,American Crocodile
36987615,2019-12-26,United States,25.7832279945,-80.3921202682,Miami-Dade,Florida,Crocodylus acutus,American Crocodile
37044901,2019-12-28,"Everglades National Park, Monroe County, US-FL, US",25.0554864738,-80.9610281185,Monroe,Florida,Crocodylus acutus,American Crocodile
37100619,2019-12-29,"Everglades National Park, Monroe County, US-FL, US",25.1953584415,-80.8292400622,Monroe,Florida,Crocodylus acutus,American Crocodile
37136294,2019-12-29,"Everglades National Park, Monroe County, US-FL, US",25.1022342276,-80.9379932131,Monroe,Florida,Crocodylus acutus,American Crocodile
37215704,2016-03-12,"Everglades National Park, Monroe County, US-FL, US",25.0903882088,-80.9854240576,Monroe,Florida,Crocodylus acutus,American Crocodile
37244364,2020-01-03,"Monroe County, US-FL, US",24.9613620889,-80.6545939102,Monroe,Florida,Crocodylus acutus,American Crocodile
37275638,2017-02-16,"Everglades National Park, Monroe County, US-FL, US",25.0041469661,-80.9485255006,Monroe,Florida,Crocodylus acutus,American Crocodile
37275639,2017-02-16,"Everglades National Park, Monroe County, US-FL, US",25.1844979692,-80.8432523255,Monroe,Florida,Crocodylus acutus,American Crocodile
37278064,2019-12-29,"Everglades National Park, Monroe County, US-FL, US",25.061156375,-80.8751904377,Monroe,Florida,Crocodylus acutus,American Crocodile
37322755,2020-01-02,"Everglades National Park, Monroe County, US-FL, US",25.0472003474,-80.82428637,Monroe,Florida,Crocodylus acutus,American Crocodile
37323030,2020-01-05,"Miami-Dade County, US-FL, US",25.5652585488,-80.3188586213,Miami-Dade,Florida,Crocodylus acutus,American Crocodile
37323202,2020-01-05,"Miami-Dade County, US-FL, US",25.4783847047,-80.2925152437,Miami-Dade,Florida,Crocodylus acutus,American Crocodile
37359317,2020-01-02,"Everglades National Park, Monroe County, US-FL, US",25.1626986102,-80.917184886,Monroe,Florida,Crocodylus acutus,American Crocodile
37359318,2020-01-02,"Everglades National Park, Monroe County, US-FL, US",25.1899366861,-80.8622138433,Monroe,Florida,Crocodylus acutus,American Crocodile
37359319,2020-01-02,"Everglades National Park, Monroe County, US-FL, US",25.0448031191,-80.9919843781,Monroe,Florida,Crocodylus acutus,American Crocodile
37370771,2019-11-05,"Everglades National Park, Monroe County, US-FL, US",25.0451608244,-80.9212614955,Monroe,Florida,Crocodylus acutus,American Crocodile
37392626,2019-11-09,"Everglades National Park, Monroe County, US-FL, US",25.1682498214,-80.9424064796,Monroe,Florida,Crocodylus acutus,American Crocodile
37408561,2020-01-04,"Everglades National Park, Monroe County, US-FL, US",25.0710363465,-80.8357902443,Monroe,Florida,Crocodylus acutus,American Crocodile
37416698,2020-01-08,"Everglades National Park, Monroe County, US-FL, US",25.1240018175,-80.9275411814,Monroe,Florida,Crocodylus acutus,American Crocodile
37416699,2020-01-08,"Everglades National Park, Monroe County, US-FL, US",25.1847163139,-80.9543524215,Monroe,Florida,Crocodylus acutus,American Crocodile
37416700,2020-01-08,"Everglades National Park, Monroe County, US-FL, US",25.1774228083,-80.8539377588,Monroe,Florida,Crocodylus acutus,American Crocodile
37416701,2020-01-08,"Everglades National Park, Monroe County, US-FL, US",25.16495109,-80.8724514244,Monroe,Florida,Crocodylus acutus,American Crocodile
37494184,2020-01-03,"Everglades National Park, Monroe County, US-FL, US",25.0781296668,-80.9327897911,Monroe,Florida,Crocodylus acutus,American Crocodile
37520157,2020-01-11,"Everglades National Park, Monroe County, US-FL, US",25.0264113876,-80.8000347647,Monroe,Florida,Crocodylus acutus,American Crocodile
37557940,2020-01-12,"Florida, US",25.6747936319,-80.2527678379,Miami-Dade,Florida,Crocodylus acutus,American Crocodile
37580078,2016-06-23,"Monroe County, US-FL, US",24.9085807092,-80.6210348018,Monroe,Florida,Crocodylus acutus,American Crocodile
37637449,2019-12-26,"Everglades National Park, Monroe County, US-FL, US",25.1194582866,-80.805256001,Monroe,Florida,Crocodylus acutus,American Crocodile
37699921,2009-02-07,"Everglades National Park, Monroe County, US-FL, US",25.0745472115,-80.9233620356,Monroe,Florida,Crocodylus acutus,American Crocodile
37748972,2020-01-19,"Florida, US",25.0542690056,-80.3869340744,Monroe,Florida,Crocodylus acutus,American Crocodile
37752932,2020-01-19,"Everglades National Park, Monroe County, US-FL, US",25.134479585,-80.9677546513,Monroe,Florida,Crocodylus acutus,American Crocodile
37866081,2020-01-11,"Everglades National Park, Monroe County, US-FL, US",25.0624453631,-80.9947697694,Monroe,Florida,Crocodylus acutus,American Crocodile
37866082,2020-01-11,"Everglades National Park, Monroe County, US-FL, US",25.1599058352,-80.8291248822,Monroe,Florida,Crocodylus acutus,American Crocodile
37955028,2019-08-19,"Florida, US",25.1877365244,-80.3089003158,Monroe,Florida,Crocodylus acutus,American Crocodile
38048972,2020-01-17,"Everglades National Park, Monroe County, US-FL, US",25.1020618576,-80.9963172113,Monroe,Florida,Crocodylus acutus,American Crocodile
38121887,2020-01-17,"Everglades National Park, Monroe County, US-FL, US",25.0102730347,-80.8514973622,Monroe,Florida,Crocodylus acutus,American Crocodile
38362268,2020-02-06,"Florida, US",25.7353320811,-80.3715089916,Miami-Dade,Florida,Crocodylus acutus,American Crocodile
38411446,2020-01-08,"Everglades National Park, Monroe County, US-FL, US",25.1332585256,-80.9438613898,Monroe,Florida,Crocodylus acutus,American Crocodile
38443839,2020-02-05,"Everglades National Park, Monroe County, US-FL, US",25.0782065652,-80.8038456504,Monroe,Florida,Crocodylus acutus,American Crocodile
38443840,2020-02-05,"Everglades National Park, Monroe County, US-FL, US",25.0724597346,-80.8588861426,Monroe,Florida,Crocodylus acutus,American Crocodile
38443841,2020-02-05,"Everglades National Park, Monroe County, US-FL, US",25.0729207105,-80.8644858432,Monroe,Florida,Crocodylus acutus,American Crocodile
38443842,2020-02-05,"Everglades National Park, Monroe County, US-FL, US",25.0010330516,-80.8607406377,Monroe,Florida,Crocodylus acutus,American Crocodile
38695848,2020-02-10,"Everglades National Park, Monroe County, US-FL, US",25.1181922439,-80.9595538615,Monroe,Florida,Crocodylus acutus,American Crocodile
39019721,2020-02-19,"Everglades National Park, Monroe County, US-FL, US",25.1300222148,-80.9802451877,Monroe,Florida,Crocodylus acutus,American Crocodile
39021124,2020-02-16,"Everglades National Park, Monroe County, US-FL, US",25.1600025974,-80.952005972,Monroe,Florida,Crocodylus acutus,American Crocodile
39028371,2020-02-21,"Everglades National Park, Monroe County, US-FL, US",25.1792876993,-80.9038149232,Monroe,Florida,Crocodylus acutus,American Crocodile
39056956,2020-02-16,"Everglades National Park, Monroe County, US-FL, US",25.1947061532,-80.8467805875,Monroe,Florida,Crocodylus acutus,American Crocodile
39056970,2020-02-16,"Everglades National Park, Monroe County, US-FL, US",25.1719580732,-80.9170637656,Monroe,Florida,Crocodylus acutus,American Crocodile
39056971,2020-02-16,"Everglades National Park, Monroe County, US-FL, US",25.1798223051,-80.9890095291,Monroe,Florida,Crocodylus acutus,American Crocodile
39056972,2020-02-16,"Everglades National Park, Monroe County, US-FL, US",25.1303062427,-80.9108224039,Monroe,Florida,Crocodylus acutus,American Crocodile
39097197,2020-02-20,"Everglades National Park, Monroe County, US-FL, US",25.014039976,-80.9597702287,Monroe,Florida,Crocodylus acutus,American Crocodile
39213865,2020-02-21,"Everglades National Park, Monroe County, US-FL, US",25.0402890355,-80.9204086513,Monroe,Florida,Crocodylus acutus,American Crocodile
39336504,2016-01-10,"Everglades National Park, Monroe County, US-FL, US",25.1261976716,-80.8744803808,Monroe,Florida,Crocodylus acutus,American Crocodile
39362730,2020-02-20,"Everglades National Park, Monroe County, US-FL, US",25.1517415724,-80.8204765843,Monroe,Florida,Crocodylus acutus,American Crocodile
39371784,2016-08-12,"Everglades National Park, Monroe County, US-FL, US",25.1012405658,-80.8393651861,Monroe,Florida,Crocodylus acutus,American Crocodile
39438255,2020-03-01,"Everglades National Park, Monroe County, US-FL, US",25.0923331273,-80.9961912017,Monroe,Florida,Crocodylus acutus,American Crocodile
39497633,2020-03-01,"Everglades National Park, Monroe County, US-FL, US",25.1201357714,-80.9268564443,Monroe,Florida,Crocodylus acutus,American Crocodile
