id,observed_on,place_guess,latitude,longitude,place_county_name,place_state_name,scientific_name,common_name
228286476,2024-06-01,"Miami-Dade County, FL, USA",25.3935444444,-80.5009,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
232923281,2024-07-31,"SW 344th St, Homestead, FL, US",25.4474739963,-80.5018061959,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
232923745,2024-07-31,"SW 344th St, Homestead, FL, US",25.4474866667,-80.501975,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
234200142,2024-08-06,"Oaks Ln, Pompano Beach, FL, US",26.22445,-80.1730116667,Broward,Florida,Salvator merianae,Argentine Black-and-white Tegu
234602870,2024-08-07,"Florida City, FL 33034, USA",25.3936333333,-80.5003027778,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
234608029,2024-07-24,"Miami-Dade County, FL, USA",25.4475991667,-80.5024532778,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
235382892,2024-08-12,"Florida City, FL, USA",25.4424511076,-80.4742449895,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
236142657,2013-09-08,"Miami-Dade County, FL, USA",25.4008333333,-80.4688333333,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
236142678,2013-02-08,"Miami-Dade County, FL, USA",25.3483333333,-80.4928333333,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
236142679,2013-02-08,"Miami-Dade County, FL, USA",25.3823333333,-80.493,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
236658049,2024-08-17,"Redland, FL 33031, USA",25.5173222222,-80.5453194444,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
237242763,2013-08-11,"Miami-Dade County, FL, USA",25.36750372,-80.4887489732,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
240465915,2024-09-07,"SE First Ave, Florida City, FL, US",25.4417193732,-80.4742326024,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
247462336,2024-10-14,"SW 377th St, Homestead, FL, US",25.41797,-80.506675,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
254114366,2019-07-25,"Canal 111 E, Homestead, FL, US",25.3995083333,-80.5232783333,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
254114413,2019-07-25,"Southern Glades Trail, Homestead, FL, US",25.3711283333,-80.5375533333,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
255752231,2018-01-09,"Florida City, FL 33034, USA",25.4470991111,-80.5023812222,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
263338717,2025-02-27,"Ingraham Hwy, Homestead, FL, US",25.4084811048,-80.5236219137,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
264568003,2025-03-08,"Florida City, FL, USA",25.4440777778,-80.4728583333,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
265126417,2025-03-12,"SW 344th St, Homestead, FL, US",25.4466853887,-80.5022595075,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
266047801,2025-03-17,"Miami-Dade County, FL, USA",25.3446228831,-80.8241539528,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
